id;valor;parte_debitada_nome;parte_debitada_conta;parte_debitada_banco;parte_creditada_nome;parte_creditada_conta;parte_creditada_banco;chave_pix_tipo;chave_pix_valor;data_transacao
1;9.93;Dra. Ana Carolina Oliveira;79470453;Nubank;Maysa da Cruz;67162333;Itau;cpf;8439752610;18/02/2022 13:28
2;15.38;Ana Caldeira;19689668;Itau;Evelyn Sales;60005091;Bradesco;cpf;27145380617;08/04/2022 01:47
3;57.58;Arthur Goncalves;18856899;Bradesco;Maria Melo;13496303;BTG;cpf;16452937006;14/07/2022 03:18
4;53705.13;Ana Julia Caldeira;22834741;Itau;Ana Livia Almeida;44695116;Nubank;cpf;26590384142;15/01/2022 18:06
5;25299.69;Srta. Nicole Pinto;3715882;Nubank;Srta. Ana Laura da Rocha;21409465;Nubank;cpf;73486105280;13/05/2022 11:04
6;7165.06;Gabriela Ferreira;2243037;Nubank;Larissa Souza;10689552;Itau;cpf;96845371237;11/09/2022 13:38
7;6.16;Heloisa da Rocha;59778949;BTG;Dra. Vitoria Silveira;56583792;Nubank;cpf;89064175357;10/12/2021 12:37
8;136.36;Srta. Isadora Correia;77102442;Nubank;Francisco da Costa;96088386;Nubank;cpf;85907632429;30/12/2021 23:18
9;574.39;Dr. Lucas da Cruz;38501170;BTG;Calebe da Luz;19365554;Bradesco;cpf;64720189520;21/06/2021 07:20
10;42.88;Mirella Martins;29535709;Bradesco;Danilo Lopes;60064650;Itau;cpf;87014935232;21/09/2022 17:19
11;33629.97;Sr. Vitor Gabriel da Costa;67010663;BTG;Sra. Lavinia Caldeira;48145941;Nubank;cpf;63542098124;12/09/2022 00:29
12;4374.56;Nathan Peixoto;22975623;Nubank;Diogo da Luz;30302218;Bradesco;cpf;72908154323;07/08/2022 17:01
13;507.18;Miguel Araujo;75113657;Nubank;Marcos Vinicius Goncalves;67418115;Itau;cpf;84763129031;07/03/2021 12:34
14;67758.87;Juliana Correia;4495167;Itau;Davi Lucas Porto;94395923;BTG;cpf;97804215649;24/03/2021 22:58
15;815.53;Ana Laura Souza;79650252;Itau;Isabel Costa;28762988;BTG;cpf;51824039689;21/02/2022 11:25
16;2.73;Levi Lima;73815441;BTG;Dra. Maria Luiza Peixoto;96594203;Bradesco;cpf;94516738066;20/07/2021 09:17
17;0.54;Otavio Cunha;85583961;Bradesco;Elisa Moreira;97003354;Bradesco;cpf;15248769094;16/02/2022 10:16
18;49836.72;Ana Carolina Oliveira;80200942;Itau;Stella Fernandes;31579145;BTG;cpf;47609381250;18/07/2022 22:46
19;9.68;Levi Martins;12349481;Itau;Joao Guilherme Mendes;31102492;BTG;celular;11916824404;26/02/2022 15:05
20;9837.22;Noah Cunha;84622162;Bradesco;Juan Mendes;97805965;Bradesco;celular;11944547225;22/06/2021 05:39
21;9.36;Dr. Benjamin Cardoso;50474832;BTG;Sr. Rafael Novaes;82556019;Nubank;celular;21922692498;08/07/2021 10:20
22;22.43;Fernanda Melo;3317895;Nubank;Luiz Otavio Ribeiro;97680466;BTG;celular;84972507365;04/08/2022 00:48
23;7.44;Mariane Ribeiro;28651670;BTG;Larissa da Mata;46848173;BTG;celular;71937205663;29/07/2021 08:27
24;40.36;Gabriela Santos;33739687;Itau;Maria Clara Moraes;7082483;Nubank;celular;61966449985;11/07/2021 05:01
25;28.66;Leandro Freitas;91133554;Itau;Valentina Pereira;6414456;BTG;celular;71979984146;24/08/2022 15:39
26;154.98;Luiza Pires;69839296;Bradesco;Pietra Melo;42851788;Itau;celular;71908616462;28/01/2022 16:51
27;35859.11;Ana Carolina Jesus;56882202;BTG;Kamilly Oliveira;64189983;BTG;celular;51918058344;27/11/2021 19:30
28;89.94;Maria Sophia Silva;26793138;Bradesco;Thiago Vieira;94781274;Nubank;celular;11988731468;04/03/2021 03:31
29;890.47;Sr. Luiz Felipe Santos;20051189;Bradesco;Enzo Gabriel Cardoso;17302910;Nubank;celular;31920761665;19/11/2022 19:25
30;3035.83;Dr. Davi Lucas Castro;7706330;BTG;Enzo Gabriel Nascimento;95438570;Nubank;celular;21995027998;09/01/2021 02:17
31;20875.64;Dr. Joao Gabriel Lopes;51847615;BTG;Ana Caldeira;69556895;Bradesco;celular;84993893778;29/04/2022 10:17
32;1508.83;Sr. Pedro da Mata;36797731;BTG;Leonardo Porto;36671966;Nubank;celular;71971735082;12/10/2021 10:04
33;1.58;Dra. Ana Vitoria Duarte;7482168;BTG;Alexia Farias;53857589;BTG;celular;81992580873;03/07/2022 23:37
34;58083.62;Giovanna Martins;64292692;Itau;Eduarda Costa;21654410;Bradesco;celular;11991283574;10/02/2021 06:13
35;7944.02;Clara das Neves;74962702;BTG;Stella Santos;70949900;Nubank;celular;41953574945;02/02/2022 14:41
36;48714.95;Pedro Miguel Azevedo;16805003;Itau;Guilherme Castro;82754334;Itau;celular;21962702716;07/06/2022 05:40
37;19799.16;Sr. Lucca Barros;60614524;Itau;Samuel Pinto;72716971;Bradesco;celular;61930570325;15/02/2021 14:13
38;32.79;Srta. Rafaela Azevedo;47265339;Nubank;Bryan Freitas;25580400;Itau;celular;31900267448;18/02/2021 04:08
39;2.52;Dr. Caua Cardoso;86824823;BTG;Ana Vitoria Pinto;91455952;Itau;celular;61966724314;09/05/2022 06:04
40;829.87;Yasmin Rocha;54656280;BTG;Alexandre Farias;76428934;BTG;celular;31924932984;09/12/2021 06:10
41;60.55;Amanda Farias;35150923;BTG;Leonardo Gomes;54498411;Nubank;cpf;57924816011;23/03/2022 20:20
42;6.62;Marcos Vinicius Duarte;56286920;Nubank;Vitor Hugo Aragao;59497930;BTG;cpf;94807512676;20/10/2021 06:58
43;70.86;Felipe Nascimento;35805970;Bradesco;Raul Ferreira;30637141;Itau;cpf;10658324780;10/08/2021 04:39
44;459.20;Maysa Nogueira;6698702;Bradesco;Marcos Vinicius da Mata;93470409;Nubank;cpf;14960258730;06/04/2021 03:47
45;69.76;Maria Eduarda Rocha;6984060;BTG;Maria Vitoria Correia;17368049;Nubank;cpf;2187365417;05/03/2021 12:07
46;5839.39;Dra. Cecilia Cavalcanti;77097184;BTG;Melissa Monteiro;61087827;Nubank;cpf;78632019503;17/06/2021 12:09
47;38219.08;Livia das Neves;93530594;Itau;Alexia Araujo;47121539;BTG;cpf;40152936734;23/05/2022 06:48
48;1379.61;Diogo Barbosa;43938121;Bradesco;Alexia Fogaca;77922324;Nubank;cpf;37450286190;02/03/2022 06:30
49;0.57;Marcela Aragao;17495080;Itau;Francisco Aragao;6594012;Itau;cpf;31894627040;12/03/2021 16:28
50;8745.63;Joao Felipe Oliveira;59642337;Nubank;Lais Nascimento;70760031;Bradesco;cpf;83051264989;17/07/2022 03:37
51;55.00;Clara Freitas;77587448;BTG;Mariane Pinto;71013738;BTG;cpf;38671904296;26/08/2021 05:16
52;60139.23;Agatha Lima;63674297;Nubank;Lucca Alves;42578440;Nubank;cpf;96753281428;13/06/2021 16:31
53;6037.91;Davi Porto;53093991;Bradesco;Luiz Gustavo Cardoso;875443;Bradesco;cpf;18905276458;01/03/2022 13:06
54;95977.62;Henrique Ferreira;6269315;Nubank;Sra. Maria Luiza Lopes;68542779;BTG;cpf;14957860211;22/09/2021 10:17
55;35409.61;Joaquim da Rosa;87505519;Bradesco;Isabelly da Cunha;95347717;Bradesco;cpf;12574036808;02/03/2022 03:04
